pos_product,ingredient_item_code,ingredient_name,grams_per_cup,store_yield_grams,sku_conversion,uom
MELON,RM006-C,GOLDEN VALLEY WHOLE CORN,17.0,0,0.017,
MELON,RM007,NATA DE COCO MILIN,23.0,0,0.012,
MELON,RM017,MACAPUNO,13.0,0,0.013,
MELON,RM018,UBE HALAYA,13.0,0,0.014,
MINI MARSHMALLOW,M006,MINI MARSHMALLOW,12.0,0,0.018,
Macapuno,RM017,MACAPUNO,13.0,0,0.013,
Mais,RM006-B,SUNBEST WHOLE KETTLE CORN,17.0,0,0.017,
Mais,RM006-C,GOLDEN VALLEY WHOLE CORN,17.0,0,0.017,
Mango,RM010,FRESH RIPE MANGO,35.0,0,0.061,
Nata,RM007,NATA DE COCO MILIN,23.0,0,0.012,
PRESIDENTIAL,FG001,LECHE FLAN,50.0,0,1.0,
PRESIDENTIAL,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
PRESIDENTIAL,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
PRESIDENTIAL,FG002,BANANA CINNAMON,13.0,0,0.013,
PRESIDENTIAL,FG003,RICE CRISPIES,2.0,0,0.002,
PRESIDENTIAL,FG004,BUKO PANDAN JELLY,30.0,0,0.035,
PRESIDENTIAL,FG009,SAGO,20.0,0,0.019,
PRESIDENTIAL,FG012,MELTED UBE / SPREAD,20.0,0,0.019,
PRESIDENTIAL,FG013,LANGKA,13.0,0,0.013,
PRESIDENTIAL,FG020,FROZEN ICE MILK,310.0,0,0.124,
PRESIDENTIAL,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
PRESIDENTIAL,PM002,DOME LID 90MM,1.0,0,1.0,
PRESIDENTIAL,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
PRESIDENTIAL,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
PRESIDENTIAL,RM006-B,SUNBEST WHOLE KETTLE CORN,17.0,0,0.017,
