fg_name,fg_name_norm,component_item_code,component_item_name_bom,qty_per_fg
MATCHARAP,MATCHARAP,FG013,LANGKA,0.013
MATCHARAP,MATCHARAP,RM017,MACAPUNO,0.013
MATCHARAP,MATCHARAP,FG002,BANANA CINNAMON,0.013
MATCHARAP,MATCHARAP,FG003,RICE CRISPIES,0.002
MATCHARAP,MATCHARAP,FG017,MATCHA FLAVORED SAUCE,0.012
MATCHARAP,MATCHARAP,PM001,16OZ CUP WITH LOGO,1.0
MATCHARAP,MATCHARAP,PM002,DOME LID 90MM,1.0
MATCHARAP,MATCHARAP,PM003,LONG SPOON GREEN W/ POUCH,1.0
MATCHARAP,MATCHARAP,PM007,PLASTIC 8x11 CALYPSO,1.0
BUKO PANDAN,BUKO PANDAN,FG001,LECHE FLAN,1.0
BUKO PANDAN,BUKO PANDAN,FG001-A,LECHE FLAN x 12,1.0
BUKO PANDAN,BUKO PANDAN,FG001-B,LECHE FLAN x 16,1.0
BUKO PANDAN,BUKO PANDAN,FG004,BUKO PANDAN JELLY,0.035
BUKO PANDAN,BUKO PANDAN,FG009,SAGO,0.019
BUKO PANDAN,BUKO PANDAN,RM006-C,GOLDEN VALLEY WHOLE CORN,0.017
BUKO PANDAN,BUKO PANDAN,RM006-B,SUNBEST WHOLE KETTLE CORN,0.017
BUKO PANDAN,BUKO PANDAN,RM007,NATA DE COCO MILIN,0.012
BUKO PANDAN,BUKO PANDAN,FG020,FROZEN ICE MILK,0.124
BUKO PANDAN,BUKO PANDAN,RM018,UBE HALAYA,0.014
BUKO PANDAN,BUKO PANDAN,FG013,LANGKA,0.013
BUKO PANDAN,BUKO PANDAN,RM017,MACAPUNO,0.013
BUKO PANDAN,BUKO PANDAN,FG002,BANANA CINNAMON,0.013
BUKO PANDAN,BUKO PANDAN,FG015,BUKO PANDAN FLAVORED SAUCE,0.013
BUKO PANDAN,BUKO PANDAN,PM001,16OZ CUP WITH LOGO,1.0
BUKO PANDAN,BUKO PANDAN,PM002,DOME LID 90MM,1.0
BUKO PANDAN,BUKO PANDAN,PM003,LONG SPOON GREEN W/ POUCH,1.0
BUKO PANDAN,BUKO PANDAN,PM007,PLASTIC 8x11 CALYPSO,1.0
CHOCO BANANA,CHOCO BANANA,FG020,FROZEN ICE MILK,0.124
CHOCO BANANA,CHOCO BANANA,FG003,RICE CRISPIES,0.002
CHOCO BANANA,CHOCO BANANA,FG005,VANILLA WHITE JELLY,0.04
CHOCO BANANA,CHOCO BANANA,FG019,CHOCOLATE FLAVORED SAUCE,0.017
CHOCO BANANA,CHOCO BANANA,FG010,TAPIOCA,0.028
CHOCO BANANA,CHOCO BANANA,FG008,CHOCO BANANA,0.03
CHOCO BANANA,CHOCO BANANA,PM001,16OZ CUP WITH LOGO,1.0
CHOCO BANANA,CHOCO BANANA,PM002,DOME LID 90MM,1.0
CHOCO BANANA,CHOCO BANANA,PM003,LONG SPOON GREEN W/ POUCH,1.0
CHOCO BANANA,CHOCO BANANA,PM007,PLASTIC 8x11 CALYPSO,1.0
MANGO CLASSIC,MANGO CLASSIC,FG001,LECHE FLAN,1.0
MANGO CLASSIC,MANGO CLASSIC,FG001-A,LECHE FLAN x 12,1.0
MANGO CLASSIC,MANGO CLASSIC,FG001-B,LECHE FLAN x 16,1.0
MANGO CLASSIC,MANGO CLASSIC,FG004,BUKO PANDAN JELLY,0.035
MANGO CLASSIC,MANGO CLASSIC,FG020,FROZEN ICE MILK,0.124
MANGO CLASSIC,MANGO CLASSIC,RM010,FRESH RIPE MANGO,0.033
MANGO CLASSIC,MANGO CLASSIC,FG010,TAPIOCA,0.028
MANGO CLASSIC,MANGO CLASSIC,RM014,MANGO SYRUP,0.033
MANGO CLASSIC,MANGO CLASSIC,PM001,16OZ CUP WITH LOGO,1.0
MANGO CLASSIC,MANGO CLASSIC,PM002,DOME LID 90MM,1.0
