location_id,business_date,bill_number,dupe_count,kept_id,all_ids
2287,2026-04-07,65339,2,49839912,49839912|49850085
2287,2026-04-07,65337,2,49839714,49839714|49848058
2287,2026-04-07,65335,2,49839597,49839597|49847477
2287,2026-04-07,65330,2,49837964,49837964|49847871
2287,2026-04-07,65329,2,49837161,49837161|49847395
2287,2026-04-07,65333,2,49838570,49838570|49847060
2338,2026-04-07,56706,2,49897207,49897207|49897283
2338,2026-04-07,56705,2,49897179,49897179|49897290
2338,2026-04-07,56582,2,49839776,49839776|49852345
2222,2026-04-07,57155,2,49823704,49823704|49824827
2222,2026-04-07,57156,2,49823763,49823763|49826315
2338,2026-04-07,56566,2,49844601,49844601|49845941
2338,2026-04-07,56563,2,49844444,49844444|49847147
2338,2026-04-07,56562,2,49844441,49844441|49847148
2338,2026-04-07,56553,2,49843652,49843652|49880339
2338,2026-04-07,56552,2,49843575,49843575|49845807
2338,2026-04-07,56551,2,49843366,49843366|49845991
2338,2026-04-07,56550,2,49843301,49843301|49860519
2338,2026-04-07,56549,2,49842954,49842954|49847208
2338,2026-04-07,56548,2,49842233,49842233|49844110
2338,2026-04-07,56547,2,49842216,49842216|49857394
2338,2026-04-07,56541,2,49841069,49841069|49844837
2338,2026-04-07,56539,2,49841010,49841010|49845063
2338,2026-04-07,56535,2,49840583,49840583|49843694
2338,2026-04-07,56527,2,49839650,49839650|49855083
2338,2026-04-07,56518,2,49838111,49838111|49846643
2338,2026-04-07,56510,2,49836255,49836255|49856811
2338,2026-04-07,56505,2,49834881,49834881|49844889
2338,2026-04-07,56461,2,49822801,49822801|49825299
2338,2026-04-07,56460,2,49822791,49822791|49824804
2219,2026-04-07,61789,2,49831189,49831189|49846940
2219,2026-04-07,61814,2,49843818,49843818|49854564
2219,2026-04-07,61828,2,49847301,49847301|49851723
2219,2026-04-07,61830,2,49847548,49847548|49851650
2943,2026-04-07,1007,2,49841308,49841308|49842094
2548,2026-04-07,28641,2,49840026,49840026|49849998
2216,2026-04-07,45143,2,49868252,49868252|49869565
2216,2026-04-07,45136,2,49863224,49863224|49872544
2216,2026-04-07,45135,2,49863222,49863222|49872587
2216,2026-04-07,45132,2,49861327,49861327|49864135
2216,2026-04-07,45117,2,49857818,49857818|49870036
2216,2026-04-07,45112,2,49856978,49856978|49863712
2216,2026-04-07,45110,2,49855956,49855956|49863310
2216,2026-04-07,45106,2,49855069,49855069|49857177
2222,2026-04-07,57157,2,49825635,49825635|49826853
2222,2026-04-07,57159,2,49826501,49826501|49828790
2222,2026-04-07,57210,2,49850162,49850162|49852851
2222,2026-04-07,57229,2,49853208,49853208|49858133
2342,2026-04-07,30893,2,49872311,49872311|49876474
2342,2026-04-07,30909,2,49876973,49876973|49880077
2216,2026-04-07,45102,2,49854477,49854477|49863364
2216,2026-04-07,45087,2,49851160,49851160|49856725
2216,2026-04-07,45085,2,49850427,49850427|49856813
2216,2026-04-07,45083,2,49850257,49850257|49856775
2216,2026-04-07,45017,2,49832194,49832194|49839984
2287,2026-04-07,65380,2,49850639,49850639|49855115
2287,2026-04-07,65377,2,49849656,49849656|49855154
2284,2026-04-07,74479,2,49859652,49859652|49865719
2284,2026-04-07,74477,2,49859513,49859513|49865742
2284,2026-04-07,74465,2,49856618,49856618|49866164
2284,2026-04-07,74453,2,49855031,49855031|49861145
2284,2026-04-07,74445,2,49853839,49853839|49863177
2284,2026-04-07,74439,2,49853019,49853019|49853325
2284,2026-04-07,74437,2,49852963,49852963|49859926
2284,2026-04-07,74434,2,49852830,49852830|49854159
2284,2026-04-07,74429,2,49852155,49852155|49853225
2284,2026-04-07,74428,2,49852035,49852035|49853137
2284,2026-04-07,74416,2,49849917,49849917|49850610
2284,2026-04-07,74415,2,49849732,49849732|49859242
2284,2026-04-07,74406,2,49848554,49848554|49849923
2284,2026-04-07,74376,2,49843858,49843858|49846806
2766,2026-04-07,8103,2,49852072,49852072|49852073
2932,2026-04-07,4488,2,49838165,49838165|49840034
2281,2026-04-06,51623,2,49765528,49765528|49765804
2338,2026-04-06,56296,2,49748592,49748592|49760158
2311,2026-04-06,35510,2,49758480,49758480|49772149
2222,2026-04-06,57150,2,49793840,49793840|49794939
2287,2026-04-06,65161,2,49752067,49752067|49761815
2311,2026-04-06,35513,2,49758815,49758815|49766452
2311,2026-04-06,35517,2,49759154,49759154|49772263
2216,2026-04-06,44878,2,49747342,49747342|49748793
2216,2026-04-06,44898,2,49752173,49752173|49764250
2339,2026-04-06,29192,2,49745982,49745982|49753784
2317,2026-04-06,44250,2,49745381,49745381|49755035
2548,2026-04-06,28514,2,49764327,49764327|49764441
2219,2026-04-06,61694,2,49757535,49757535|49760961
2426,2026-04-06,18296,2,49725977,49725977|49727447
2338,2026-04-06,56264,2,49743305,49743305|49759283
2338,2026-04-06,56268,2,49744485,49744485|49752006
2338,2026-04-06,56274,2,49744926,49744926|49756024
2338,2026-04-06,56285,2,49747455,49747455|49751671
2338,2026-04-06,56290,2,49748029,49748029|49751611
2281,2026-04-06,51715,2,49787954,49787954|49800001
2222,2026-04-05,56762,2,49634883,49634883|49635689
2287,2026-04-05,64827,2,49661895,49661895|49670772
2287,2026-04-05,64830,2,49661959,49661959|49668871
2287,2026-04-05,64839,2,49663252,49663252|49669713
2287,2026-04-05,64842,2,49663293,49663293|49667332
2287,2026-04-05,64843,2,49663320,49663320|49667363
2287,2026-04-05,64849,2,49664196,49664196|49669780
2287,2026-04-05,64850,2,49664320,49664320|49669989
2287,2026-04-05,64862,2,49665199,49665199|49670385
2287,2026-04-05,64867,2,49665672,49665672|49670979
2287,2026-04-05,64869,2,49665850,49665850|49676168
2287,2026-04-05,64874,2,49666073,49666073|49675512
2287,2026-04-05,64875,2,49666134,49666134|49675117
2287,2026-04-05,64881,2,49666708,49666708|49668157
2287,2026-04-05,64883,2,49666964,49666964|49678190
2287,2026-04-05,64885,2,49667166,49667166|49671027
2287,2026-04-05,64887,2,49667251,49667251|49673394
2287,2026-04-05,64888,2,49667273,49667273|49670985
2287,2026-04-05,64889,2,49667368,49667368|49668585
