account_name,account_number,root_type,account_type,parent_account_stem,is_group,appears_in_count,appears_in_companies
Loans (Liabilities),,Liability,,Current Liabilities,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Loans and Advances (Assets),,Asset,,Current Assets,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Marketing Expenses,,Expense,Chargeable,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Miscellaneous Expenses,,Expense,Chargeable,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Office Equipments,,Asset,Fixed Asset,Fixed Assets,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Office Maintenance Expenses,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Office Rent,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Opening Balance Equity,,Equity,Equity,Equity,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Payroll Payable,,Liability,,Accounts Payable,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Plants and Machineries,,Asset,Fixed Asset,Fixed Assets,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Postal Expenses,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Print and Stationery,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Retained Earnings,,Equity,Equity,Equity,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Revaluation Surplus,,Equity,Equity,Equity,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Round Off,,Expense,Round Off,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Salary,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Sales,,Income,,Direct Income,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Sales Expenses,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Secured Loans,,Liability,,Loans (Liabilities),0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Securities and Deposits,,Asset,,Current Assets,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Service,,Income,,Direct Income,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Softwares,,Asset,Fixed Asset,Fixed Assets,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Source of Funds (Liabilities),,Liability,,,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Stock Adjustment,,Expense,Stock Adjustment,Stock Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Stock Assets,,Asset,Stock,Current Assets,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Stock Expenses,,Expense,,Direct Expenses,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Stock In Hand,,Asset,Stock,Stock Assets,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Stock Liabilities,,Liability,,Current Liabilities,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Stock Received But Not Billed,,Liability,Stock Received But Not Billed,Stock Liabilities,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Tax Assets,,Asset,,Current Assets,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Telephone Expenses,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Temporary Accounts,,Asset,,Application of Funds (Assets),1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Temporary Opening,,Asset,Temporary,Temporary Accounts,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Travel Expenses,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Unsecured Loans,,Liability,,Loans (Liabilities),0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Utility Expenses,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
VAT,,Liability,Tax,Duties and Taxes,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Write Off,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
