company_name,abbr,store_ownership_type,parent_company,first_provision_done,field_name,current_value,target_doctype,ref_exists,action_recommended
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,default_payable_account,Creditors - SMMAR,Account,True,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,default_receivable_account,Debtors - SMMAR,Account,True,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,default_payroll_payable_account,,Account,,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,default_employee_advance_account,,Account,,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,default_expense_account,Cost of Goods Sold - SMMAR,Account,True,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,default_income_account,Sales - SMMAR,Account,True,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,round_off_account,Round Off - SMMAR,Account,True,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,round_off_cost_center,,Cost Center,,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,default_cash_account,Cash - SMMAR,Account,True,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,exchange_gain_loss_account,,Account,,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,accumulated_depreciation_account,,Account,,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,depreciation_expense_account,,Account,,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,expenses_included_in_asset_valuation,,Account,,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,disposal_account,,Account,,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,depreciation_cost_center,,Cost Center,,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,capital_work_in_progress_account,,Account,,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,asset_received_but_not_billed,,Account,,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,stock_adjustment_account,,Account,,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,stock_received_but_not_billed,,Account,,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,expenses_included_in_valuation,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,default_inventory_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,default_payable_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,default_receivable_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,default_payroll_payable_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,default_employee_advance_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,default_expense_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,default_income_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,round_off_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,round_off_cost_center,,Cost Center,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,default_cash_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,exchange_gain_loss_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,accumulated_depreciation_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,depreciation_expense_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,expenses_included_in_asset_valuation,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,disposal_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,depreciation_cost_center,,Cost Center,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,capital_work_in_progress_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,asset_received_but_not_billed,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,stock_adjustment_account,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,stock_received_but_not_billed,,Account,,no_action
SM MEGAMALL - BEBANG ENTERPRISE INC.,SMMM,JV,BEBANG ENTERPRISE INC.,1,expenses_included_in_valuation,,Account,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,default_inventory_account,,Account,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,default_payable_account,Creditors - SMNE,Account,True,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,default_receivable_account,Debtors - SMNE,Account,True,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,default_payroll_payable_account,,Account,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,default_employee_advance_account,,Account,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,default_expense_account,Cost of Goods Sold - SMNE,Account,True,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,default_income_account,Sales - SMNE,Account,True,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,round_off_account,Round Off - SMNE,Account,True,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,round_off_cost_center,,Cost Center,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,default_cash_account,Cash - SMNE,Account,True,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,exchange_gain_loss_account,,Account,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,accumulated_depreciation_account,,Account,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,depreciation_expense_account,,Account,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,expenses_included_in_asset_valuation,,Account,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,disposal_account,,Account,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,depreciation_cost_center,,Cost Center,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,capital_work_in_progress_account,,Account,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,asset_received_but_not_billed,,Account,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,stock_adjustment_account,,Account,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,stock_received_but_not_billed,,Account,,no_action
SM NORTH EDSA - BEBANG NORTH EDSA INC.,SMNE,JV,BEBANG ENTERPRISE INC.,1,expenses_included_in_valuation,,Account,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,default_inventory_account,,Account,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,default_payable_account,Creditors - SMPUL,Account,True,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,default_receivable_account,Debtors - SMPUL,Account,True,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,default_payroll_payable_account,,Account,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,default_employee_advance_account,,Account,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,default_expense_account,Cost of Goods Sold - SMPUL,Account,True,no_action
